04kdZ,r2q1rk1/4p1b1/p2p1n1p/1ppb2P1/6P1/1B1P4/PPP4N/R1BQ1RK1 b - - 0 17,h6g5 f1f6 g7f6 b3d5 e7e6 d5e6,2738,106,91,990,advantage capturingDefender exposedKing fork long middlegame,https://lichess.org/FroOipnY/black#34,Sicilian_Defense Sicilian_Defense_Moscow_Variation
04srM,4n3/5Qpk/4p2p/3b4/P7/1q5P/6P1/5R1K w - - 1 37,f7e8 b3h3 h1g1 h3g2,1254,76,87,630,endgame mate mateIn2 pin short,https://lichess.org/xaB75wr4#73,
04woM,4r1k1/pp2rp1p/6p1/q3B3/2Bn4/P3Q2P/1P4P1/1R1R2K1 b - - 0 24,e7e5 e3d4 e5e4 d4d5 e4e1 d1e1 e8e1 b1e1,2204,77,85,875,advantage hangingPiece middlegame veryLong,https://lichess.org/IgedQIA1/black#48,
04xJJ,4rrk1/ppp2ppp/3p2n1/4n1q1/3pP1b1/1B4BP/PPPN2P1/R3QRK1 b - - 0 14,g4e2 f1f5 g5e3 g3f2 e3h6 e1e2,2111,74,94,7095,advantage defensiveMove long middlegame,https://lichess.org/QDw3mkU6/black#28,Scotch_Game Scotch_Game_Scotch_Gambit
04xS4,r7/ppp2k2/2b5/2b1P3/5PP1/2P5/PP4P1/R1B2R1K w - - 0 28,f4f5 a8h8 c1h6 h8h6,1066,76,92,407,endgame mate mateIn2 short,https://lichess.org/JN4J9ZDa#55,
04xz5,2k2r2/ppp1n3/2b1p2p/6pB/PP1P2Q1/2P1P3/3B2PP/R4q1K w - - 5 23,a1f1 f8f1,494,89,100,231,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/8958ZeeG#45,
04yid,2rqk1nr/5ppp/4p3/ppbpP3/5P2/1P3N2/5RPP/RNBQ2K1 w k - 2 17,f3d4 c5d4 d1d4 c8c1,1710,189,-100,5,advantage discoveredAttack opening pin short,https://lichess.org/DC2gQ6B9#33,Scandinavian_Defense Scandinavian_Defense_Other_variations
059T6,r5k1/1p3b2/p2b2pp/5K2/P2RP3/6P1/1P3P1P/2R5 w - - 0 35,f5f6 d6f8 d4d7 f8g7,1935,74,91,131,crushing endgame quietMove short,https://lichess.org/5b23TD6l#69,
05Cet,6k1/p4p1p/p2P2p1/6P1/3rrNbP/1P1R4/P2K4/5R2 w - - 3 30,f4g2 e4e2 d2c3 d4d3 c3d3 e2g2,1248,75,91,1427,advantage endgame exposedKing fork long,https://lichess.org/CedhZfnA#59,
05DOV,8/2p1k3/3r4/2Nr1p1p/1PK1p1b1/4P1P1/2P2P2/2R3R1 w - - 3 33,g1f1 g4e2 c4c3 e2f1,1296,74,82,289,crushing endgame fork master short,https://lichess.org/vPt7Icyu#65,
05EQt,r6r/pp1R2pp/2pB1k2/8/2b5/5N1P/5PP1/3B2K1 b - - 0 21,a8d8 d6e7 f6e6 d7d8 h8d8 e7d8,1607,75,94,8431,crushing fork long middlegame,https://lichess.org/paY3HZBM/black#42,
